cardType,cardNumber,cardHolder,cardExpiration,iban,swiftBicNumber
JCB,3589102423381638,Mr. Garfield Hirthe,08/24,NG30878135415582450773666524,MBLTBASN
MasterCard,2607816464567686,Kaylee D'Amore,07/23,KG23620449111615898489251257,PMYZKO1LP6K
Visa,4024007169589321,Karli Runolfsdottir,02/25,QA92927756820743019750824525,CDYAXTQV
American Express,378353704758835,Kolby Stehr,11/23,TN3014811887369967315403,FVMVXDBPRER
MasterCard,2633344457870684,Elias Hahn,08/24,MX17328351029625379828742193,DXKGTBYWC1Q
Visa,4532409670092016,Miss Janelle Brown,11/23,TC26304104944767180990682689,VTXLZQN5NVP
Visa Retired,4916573055558,Ms. Yvonne Langosh DVM,07/23,BS67122392242143363737735611,GRXZWPV1
Discover Card,6011445672670776,Dr. Elissa Parisian,03/23,GQ05906262411689879066628659,NREKUQWOCZC
MasterCard,2643486664442175,Neal Torphy,03/23,BZ60678036204695684416168902,ETSUJP32
Visa Retired,4539342908749,Mr. Casimer Roberts Jr.,04/23,NO7330780661757,ZDVAYIHG
Discover Card,6011249163281360,Jackie Beer,12/23,AL4978781871ORO1AI1675L3L8Q7,KBYYDIOX82Z
Visa,4532578455891899,Triston Waters,11/25,KZ88803S28LGCRQE7G09,AIPJLI3B51N
Visa,4916533121521509,Prof. Fernando Fadel III,10/23,BT72346634904334462127144806,PHNYPW0J7Q6
JCB,3589718181015264,Candace Powlowski,10/25,GH70243833515267244484541372,TSDMPP27
MasterCard,5306834502354287,Freida Witting Jr.,02/25,CV08785182495024055597863515,DYZCWYW2DBE
JCB,3528243540053058,Jarvis Heidenreich,05/24,RW23728765060020851804055980,OKZLOFZ6FAO
American Express,371321604598426,August Watsica,09/25,SD44466903363822956183924152,DMQWMJWNC8V
Visa,4024007133743509,Charity Bayer DDS,07/25,LA78989973024290263818312615,ZFRTCEG4AXO
MasterCard,5563277519502100,Mylene Durgan III,07/24,CM18252290453652526865682453,TRPJRAEV
Visa,4024007169944104,Donald Mayer,10/23,BW28413322093058638138187805,DPFREPHG
Visa,4916750107633575,Prof. Erick Lakin,05/25,FO08764830041627008307826593,ENAFDZAJ
MasterCard,2469863244542552,Cleve Hane Sr.,12/23,BS08627736080313337391284537,MGOMKANG
MasterCard,2512820741883993,Bradly Runte,11/24,KZ13397QG66J9K3CNU77,MONADM5RRBO
Visa,4539735114157483,Dr. Adonis Crist,09/23,BW98292310556217495541117755,RFUYHXZM
